agcnum,radeg,decdeg,vhel,sepmin
213385,179.4504,12.0400, 2767,422.9651
215740,179.6683,15.5928,  561,440.2495
210968,179.8908,13.8875, 1450,399.8616
224386,180.0433, 9.0614,  464,446.0865
224234,180.2337,10.4986, 2657,399.1001
226564,180.2833,14.1183, 1421,379.9525
  7001,180.2933,14.1039, 1505,379.2042
  7003,180.3396,14.4497, 1287,381.4115
  7002,180.3492,13.4003,  936,369.5634
211006,180.3646,14.0344, 1488,374.3021
224978,180.4379, 8.6831, 2184,438.3299
224235,180.8129,10.1078, 2525,376.5669
222046,180.9000,16.0556,  939,388.5766
  7039,180.9608,16.5542, 2090,401.5611
  7038,180.9608,14.5508,  899,348.4775
  7048,181.0483,10.8542, 2403,346.6836
224237,181.1963,10.6264, 2572,343.3641
  7066,181.1988,10.5953, 2559,343.9319
226208,181.2483,14.4058, 1102,329.9366
220072,181.3629,12.5453,  771,308.7868
220074,181.3863,14.4900, 1485,323.8536
224595,181.6696,12.0344, 1428,293.8523
741926,181.9217,18.4803, 2154,439.7797
  7117,182.0408,10.3783, 1674,304.4387
220128,182.0846,13.6839, 2266,271.9242
220133,182.1317,15.0950,  589,298.3294
  7136,182.3429,13.9922, 1804,261.8116
220150,182.3537,13.5744, 1944,255.2413
  7149,182.4771,13.0494, 2464,243.9188
  7150,182.5075,14.3661,  825,260.0996
224602,182.5138,11.7136, 2594,249.0843
220167,182.5958,10.1883,  506,281.9679
220168,182.6008,13.1706, 1691,237.3587
226241,182.6333,14.4897, 2220,256.2433
220171,182.6487,11.7606, 1289,240.7025
  7170,182.6538,18.8281, 2444,432.3560
  7169,182.6563,16.0325, 2161,304.7286
224696,182.6583,13.0219, 2418,233.2333
220172,182.6700,14.6461, 2469,258.2803
226242,182.6875, 7.8681, 2027,372.9556
223267,182.7033,15.2522,  462,274.5699
223268,182.7271,15.9458, 2231,298.2560
220176,182.7375, 9.2192, 2215,311.2168
220178,182.7612,12.1042, 1894,229.9473
220179,182.7821,14.2750, 1093,243.2495
742018,182.7858,17.6314, 2485,369.2562
  7181,182.7913,13.5875,  264,230.4234
  7186,182.8425,18.0164, 2329,385.9338
220184,182.9087,16.4786, 2400,312.3138
224698,182.9179,12.9736, 2221,217.9001
224802,182.9246,13.1964, 1496,218.7454
224803,182.9412,13.2856, 2468,218.5029
223270,182.9425,13.0233, 2308,216.6714
224699,182.9450,12.4939,  667,216.4379
742034,182.9579,17.6764, 2455,365.5123
226249,182.9746,13.8083, 2007,223.4020
224241,183.0050,10.3983, 1620,254.8599
